school,district,school_year,enrollment,category,reason,description,date_description,year,days,cds_code,county
Rancho San Diego Elementary,Cajon Valley Union,2016-17,601,Student Safety,Police Activity,Offcer involved shooting,"September 30, 2016",2016,1,37679916106025,San Diego
Rios Elementary,Cajon Valley Union,2016-17,317,Student Safety,Police Activity,Offcer involved shooting,"September 30, 2016",2016,1,37679916037733,San Diego
Vista Grande Elementary,Cajon Valley Union,2016-17,615,Student Safety,Police Activity,Offcer involved shooting,"September 30, 2016",2016,1,37679916101794,San Diego
W. D. Hall Elementary,Cajon Valley Union,2016-17,607,Student Safety,Police Activity,Offcer involved shooting,"September 30, 2016",2016,1,37679916037741,San Diego
Novato High,Novato Unified,2015-16,1296,Student Safety,Police Activity,"On Wednesday May 25, 2016 there was a late afternoon shooting off campus. The suspects were not found so the school was closed to protect the students.","May 26, 2016",2016,1,21654172132272,Marin
KIPP King Collegiate High,San Lorenzo Unified,2018-19,642,Student Safety,Threat of Violence,Online threat of violence,"October 22, 2018",2018,1,1613090114421,Alameda
A. G. Currie Middle,Tustin Unified,2017-18,708,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736436085377,Orange
Arnold O. Beckman High,Tustin Unified,2017-18,2987,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736430102871,Orange
Arroyo Elementary,Tustin Unified,2017-18,612,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736436030548,Orange
Barbara Benson Elementary,Tustin Unified,2017-18,373,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736436030688,Orange
Benjamin F. Beswick Elementary,Tustin Unified,2017-18,521,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736436030555,Orange
C. E. Utt Middle,Tustin Unified,2017-18,955,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736436030571,Orange
Columbus Tustin Middle,Tustin Unified,2017-18,876,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736436030589,Orange
Foothill High,Tustin Unified,2017-18,2425,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736433032109,Orange
Guin Foss Elementary,Tustin Unified,2017-18,443,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736436030605,Orange
Helen Estock Elementary,Tustin Unified,2017-18,573,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736436030613,Orange
Heritage Elementary,Tustin Unified,2017-18,458,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736430133488,Orange
Hewes Middle,Tustin Unified,2017-18,964,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736436030621,Orange
Hicks Canyon Elementary,Tustin Unified,2017-18,941,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736430102889,Orange
Hillview High (Continuation),Tustin Unified,2017-18,181,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736433032919,Orange
Jeane Thorman Elementary,Tustin Unified,2017-18,566,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736436085369,Orange
Ladera Elementary,Tustin Unified,2017-18,347,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736436118764,Orange
Loma Vista Elementary,Tustin Unified,2017-18,506,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736436030639,Orange
Marjorie Veeh Elementary,Tustin Unified,2017-18,409,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736436030670,Orange
Myford Elementary,Tustin Unified,2017-18,668,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736436118772,Orange
Orchard Hills,Tustin Unified,2017-18,1322,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736430121152,Orange
Peters Canyon Elementary,Tustin Unified,2017-18,497,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736436114482,Orange
Pioneer Middle,Tustin Unified,2017-18,1282,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736436116305,Orange
Red Hill Elementary,Tustin Unified,2017-18,556,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736436030662,Orange
Robert Heideman Elementary,Tustin Unified,2017-18,652,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736436066898,Orange
Tustin Connect,Tustin Unified,2017-18,92,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736433030590,Orange
Tustin High,Tustin Unified,2017-18,2373,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736433037553,Orange
Tustin Memorial Elementary,Tustin Unified,2017-18,607,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736436030696,Orange
Tustin Ranch Elementary,Tustin Unified,2017-18,619,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736436113054,Orange
W. R. Nelson Elementary,Tustin Unified,2017-18,484,Wildfires,Canyon 2 Fire 2017,"Orange County Fires, unhealthy air quality","October 10, 2017",2017,1,30736436030704,Orange
Wheatland Community Day High,Wheatland Union High,2016-17,4,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam evacuation.,"February 14-17, 2017",2017,4,58727690123570,Yuba
Wheatland Union High,Wheatland Union High,2016-17,734,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam evacuation.,"February 14-17, 2017",2017,4,58727695838305,Yuba
Camptonville Academy,Camptonville Elementary,2016-17,456,Natural Disasters & Weather,Oroville Dam Flooding,"Oroville Dam Evacuations. Flooding, road closures, and mandatory evacuations.","February 13-16, and 21, 2017",2017,5,,
Cobblestone Elementary,Plumas Lake Elementary,2016-17,400,Natural Disasters & Weather,Inclement Weather,"Oroville Dam evanuation. Inclement weathe resulted in flooding, road closures, and evacuation orders.","February 14-17, 2017",2017,4,58727440114652,Yuba
Rio Del Oro Elementary,Plumas Lake Elementary,2016-17,459,Natural Disasters & Weather,Inclement Weather,"Oroville Dam evanuation. Inclement weathe resulted in flooding, road closures, and evacuation orders.","February 14-17, 2017",2017,4,58727440107375,Yuba
Riverside Meadows Intermediate,Plumas Lake Elementary,2016-17,413,Natural Disasters & Weather,Inclement Weather,"Oroville Dam evanuation. Inclement weathe resulted in flooding, road closures, and evacuation orders.","February 14-17, 2017",2017,4,58727440112623,Yuba
Bangor Elementary,Bangor Union Elementary,2016-17,87,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway,"February 9-10, 13-16, 2017",2017,6,4613826002919,Butte
Concow Elementary,Golden Feather Union Elementary,2016-17,106,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway,"February 10, and 13-16, 2017",2017,5,4614576003131,Butte
Golden Hills Elementary,Palermo Union Elementary,2016-17,281,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway,"February 10, and 13-16, 2017",2017,5,4615230110510,Butte
Helen M. Wilcox Elementary,Palermo Union Elementary,2016-17,532,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway,"February 10, and 13-16, 2017",2017,5,4615236003289,Butte
Honcut,Palermo Union Elementary,2016-17,15,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway,"February 10, and 13-16, 2017",2017,5,4615236089080,Butte
Palermo,Palermo Union Elementary,2016-17,409,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway,"February 10, and 13-16, 2017",2017,5,4615236003297,Butte
Palermo Union Community Day,Palermo Union Elementary,2016-17,7,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway,"February 10, and 13-16, 2017",2017,5,4615236115067,Butte
Palermo Union Community Day (K-8),Palermo Union Elementary,2016-17,7,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway,"February 10, and 13-16, 2017",2017,5,4615236115034,Butte
STREAM Charter,Oroville City Elementary,2016-17,272,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway,"February 10, 13-16, 2017",2017,5,4615070129577,Butte
Yuba City Charter,Yuba City Unified,2016-17,241,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway,"February 13-16, 2017",2017,4,51714645130125,Sutter
Feather Falls Elementary,Feather Falls Union Elementary,2016-17,13,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway (Evacuation) State of Emergency,"February 10, and 13-16, 2017",2017,5,4614406003123,Butte
Ipakanni Early College Charter,Feather Falls Union Elementary,2016-17,65,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway (Evacuation) State of Emergency,"February 10, and 13-16, 2017",2017,5,4614400121509,Butte
Feather River Academy,Sutter County Office of Education,2016-17,104,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway evacuation,"February 14-21, 2017",2017,6,,Sutter
Sutter County Special Education,Sutter County Office of Education,2016-17,323,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway evacuation,"February 14-21, 2017",2017,6,,Sutter
Las Plumas High,Oroville Union High,2016-17,1030,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway Flood,"February 10, and 13-16, 2017",2017,5,4615150434803,Butte
Oroville High,Oroville Union High,2016-17,986,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway Flood,"February 10, and 13-16, 2017",2017,5,4615150435602,Butte
Oroville High Community Day,Oroville Union High,2016-17,20,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway Flood,"February 10, and 13-16, 2017",2017,5,4615150430140,Butte
Prospect High (Continuation),Oroville Union High,2016-17,120,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway Flood,"February 10, and 13-16, 2017",2017,5,4615150437566,Butte
Table Mountain,Butte County Office of Education,2016-17,18,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway Flood,"February 13-16, 2017",2017,4,,Butte
Berry Creek Elementary,Pioneer Union Elementary,2016-17,66,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway Flooding,"February 10, 13-16, 2017",2017,5,4733796002927,Butte
Durham Elementary,Durham Unified,2016-17,453,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway Flooding,"February 13-16, 2017",2017,4,4614326003115,Butte
Durham High,Durham Unified,2016-17,300,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway Flooding,"February 13-16, 2017",2017,4,4614320433201,Butte
Durham Intermediate,Durham Unified,2016-17,233,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway Flooding,"February 13-16, 2017",2017,4,4614326105761,Butte
Heritage Community Day,Thermalito Union Elementary,2016-17,10,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway Flooding,"February 10 and 13-16, 2017",2017,5,4615496121016,Butte
Nelson Avenue Middle,Thermalito Union Elementary,2016-17,432,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway Flooding,"February 10 and 13-16, 2017",2017,5,4615496003354,Butte
Pioneer Community Day,Thermalito Union Elementary,2016-17,6,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway Flooding,"February 10 and 13-16, 2017",2017,5,4615490101485,Butte
Plumas Avenue Elementary,Thermalito Union Elementary,2016-17,303,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway Flooding,"February 10 and 13-16, 2017",2017,5,4615490102327,Butte
Poplar Avenue Elementary,Thermalito Union Elementary,2016-17,262,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway Flooding,"February 10 and 13-16, 2017",2017,5,4615496003362,Butte
Sierra Avenue Elementary,Thermalito Union Elementary,2016-17,477,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway Flooding,"February 10 and 13-16, 2017",2017,5,4615496003370,Butte
S. William Abel Community,Colusa County Office of Education,2016-17,4,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Dam Spillway Flooding,"February 21, 2017",2017,1,,Colusa
Manzanita Elementary,Manzanita Elementary,2016-17,288,Natural Disasters & Weather,Oroville Dam Flooding,Oroville Spillway Flooding,"February 10, 13-17, 2017",2017,6,4614996003198,Butte
Analy High,West Sonoma County Union High,2017-18,1145,Wildfires,2017 Wine Country Fires,"Per the countys request, the district hosted an evacuation shelter. State of Emergency (Tubbs Fire)","October 9-13, 2017",2017,5,49706074930400,Sonoma
El Molino High,West Sonoma County Union High,2017-18,596,Wildfires,2017 Wine Country Fires,"Per the countys request, the district hosted an evacuation shelter. State of Emergency (Tubbs Fire)","October 9-13, 2017",2017,5,49706074931507,Sonoma
Laguna High,West Sonoma County Union High,2017-18,81,Wildfires,2017 Wine Country Fires,"Per the countys request, the district hosted an evacuation shelter. State of Emergency (Tubbs Fire)","October 9-13, 2017",2017,5,49706074930327,Sonoma
West Sonoma County Consortium,West Sonoma County Union High,2017-18,38,Wildfires,2017 Wine Country Fires,"Per the countys request, the district hosted an evacuation shelter. State of Emergency (Tubbs Fire)","October 9-13, 2017",2017,5,49706070121038,Sonoma
Shasta County Special Education,Shasta County Office of Education,2018-19,37,Student Safety,Gas Leak,PG&E gas repair/water leak,"February 25-26, 2019",2019,2,45104546069389,Shasta
Burns Valley,Konocti Unified,2010-11,522,Infrastructure,Power Outage,PG&E power lines were down in front of school. PG&E closed access to the campus for staff and students due to unsafe passage onto campus.,"March 28, 2011",2011,1,17640226010615,Lake
Blue Heron,Konocti Unified,2018-19,27,Infrastructure,Power Outage,PG&E power outage,"October 15, 2018",2018,1,17640220107706,Lake
Burns Valley,Konocti Unified,2018-19,532,Infrastructure,Power Outage,PG&E power outage,"October 15, 2018",2018,1,17640226010615,Lake
Carle (William C.) High (Continuation),Konocti Unified,2018-19,87,Infrastructure,Power Outage,PG&E power outage,"October 15, 2018",2018,1,17640221730027,Lake
Dobbins Elementary,Marysville Joint Unified,2018-19,39,Infrastructure,Power Outage,PG&E power outage,"October 15, 2018",2018,1,58727366056675,Yuba
East Lake,Konocti Unified,2018-19,209,Infrastructure,Power Outage,PG&E power outage,"October 15, 2018",2018,1,17640226010623,Lake
Foothill Intermediate,Marysville Joint Unified,2018-19,237,Infrastructure,Power Outage,PG&E power outage,"October 15, 2018",2018,1,58727366056691,Yuba
Highlands Academy,Konocti Unified,2018-19,16,Infrastructure,Power Outage,PG&E power outage,"October 15, 2018",2018,1,17640226057434,Lake
Konocti Education Center,Konocti Unified,2018-19,414,Infrastructure,Power Outage,PG&E power outage,"October 15, 2018",2018,1,17640220132571,Lake
Lake County International Charter,Middletown Unified,2018-19,75,Infrastructure,Power Outage,PG&E power outage,"October 15, 2018",2018,1,17640550108340,Lake
Loma Rica Elementary,Marysville Joint Unified,2018-19,103,Infrastructure,Power Outage,PG&E power outage,"October 15, 2018",2018,1,58727366056725,Yuba
Lower Lake Elementary,Konocti Unified,2018-19,690,Infrastructure,Power Outage,PG&E power outage,"October 15, 2018",2018,1,17640226084990,Lake
Lower Lake High,Konocti Unified,2018-19,870,Infrastructure,Power Outage,PG&E power outage,"October 15, 2018",2018,1,17640221735000,Lake
Oak Meadow Elementary,Buckeye Union Elementary,2012-13,788,Infrastructure,Power Outage,PG&E Power outage,"August 14, 2012",2012,1,9618380100024,El Dorado
Pomo,Konocti Unified,2018-19,703,Infrastructure,Power Outage,PG&E power outage,"October 15, 2018",2018,1,17640226109706,Lake
Rail Road Flat Elementary,Calaveras Unified,2018-19,48,Infrastructure,Power Outage,PG&E power outage,"October 15, 2018",2018,1,5615646003420,Calaveras
Richard H. Lewis Alternative,Konocti Unified,2018-19,27,Infrastructure,Power Outage,PG&E power outage,"October 15, 2018",2018,1,17640221730118,Lake
West Point Elementary,Calaveras Unified,2018-19,108,Infrastructure,Power Outage,PG&E power outage,"October 15, 2018",2018,1,5615646003453,Calaveras
Yuba Feather Elementary,Marysville Joint Unified,2018-19,123,Infrastructure,Power Outage,PG&E power outage,"October 15, 2018",2018,1,58727366056782,Yuba
Alta-Dutch Flat Elementary,Alta-Dutch Flat Union Elementary,2018-19,99,Infrastructure,Power Outage,PG&E power outage,"October 15, 2018",2018,1,31667796031017,Placer
Lloyd Hance Community,Lake County Office of Education,2018-19,12,Infrastructure,Power Outage,PG&E power outage,"October 15, 2018",2018,5,,Lake
Clearlake Creativity,Lake County Office of Education,2018-19,24,Infrastructure,Power Outage,PG&E power outage,"October 15, 2018",2018,5,,Lake
EDUHSD Virtual Academy at Shenandoah,El Dorado Union High,2018-19,110,Infrastructure,Power Outage,PG&E power outage - preemptive due to fire risk,"October 15, 2018",2018,1,9618530930214,El Dorado
Divide High,Black Oak Mine Unified,2018-19,13,Natural Disasters & Weather,Inclement Weather,PG&E Power outage - weather,"October 15-16, 2018",2018,2,9737830930099,El Dorado
Foresthill Divide,Foresthill Union Elementary,2018-19,394,Natural Disasters & Weather,Inclement Weather,PG&E power outage - weather,"October 15, 2018",2018,1,31668376031116,Placer
Georgetown Elementary,Black Oak Mine Unified,2018-19,224,Natural Disasters & Weather,Inclement Weather,PG&E Power outage - weather,"October 15-16, 2018",2018,2,9737836005490,El Dorado
Gold Trail,Gold Trail Union Elementary,2018-19,389,Natural Disasters & Weather,Inclement Weather,PG&E power outage - weather,"October 15, 2018",2018,1,9618876005516,El Dorado
Golden Sierra Junior Senior High,Black Oak Mine Unified,2018-19,500,Natural Disasters & Weather,Inclement Weather,PG&E Power outage - weather,"October 15-16, 2018",2018,2,9737830930073,El Dorado
Northside Elementary,Black Oak Mine Unified,2018-19,299,Natural Disasters & Weather,Inclement Weather,PG&E Power outage - weather,"October 15-16, 2018",2018,2,9737836005623,El Dorado
Otter Creek Elementary,Black Oak Mine Unified,2018-19,17,Natural Disasters & Weather,Inclement Weather,PG&E Power outage - weather,"October 15-16, 2018",2018,2,9737836110498,El Dorado
Sutters Mill,Gold Trail Union Elementary,2018-19,272,Natural Disasters & Weather,Inclement Weather,PG&E power outage - weather,"October 15, 2018",2018,1,9618876110167,El Dorado
Yuba Environmental Science Charter Academy,Yuba County Office of Education,2018-19,112,Infrastructure,Power Outage,PG&E power outage/no running water,"October 15-16, 2018",2018,2,,Yuba
Edwin Markham Middle,Placerville Union Elementary,2018-19,425,Infrastructure,Power Outage,PG&E power outages,"October 15, 2018",2018,1,9619526005649,El Dorado
Louisiana Schnell Elementary,Placerville Union Elementary,2018-19,424,Infrastructure,Power Outage,PG&E power outages,"October 15, 2018",2018,1,9619526005656,El Dorado
Sierra Elementary,Placerville Union Elementary,2018-19,452,Infrastructure,Power Outage,PG&E power outages,"October 15, 2018",2018,1,9619526005664,El Dorado
Kettleman City Elementary,Reef-Sunset Unified,2010-11,320,Infrastructure,Power Outage,PG&E transfomer shorted out and burned the power lines off the pole. Power lines were down in front of the school and still had electricity to them.,"October 13, 2010",2010,1,16739326010573,Kings
Douglas City Elementary,Douglas City Elementary,2015-16,180,Wildfires,Other Wildfires,Phone lines down due to Browns Fire.,"September 9, 2015",2015,1,53716966053722,Trinity
Apple Valley High,Apple Valley Unified,2016-17,2201,Wildfires,2016 San Bernardino Fires,Pilot Fire,"August 9-10, 2016",2016,2,36750773630423,San Bernardino
Desert Knolls Elementary,Apple Valley Unified,2016-17,603,Wildfires,2016 San Bernardino Fires,Pilot Fire,"August 9-10, 2016",2016,2,36750776037337,San Bernardino
Granite Hills High,Apple Valley Unified,2016-17,1451,Wildfires,2016 San Bernardino Fires,Pilot Fire,"August 9-10, 2016",2016,2,36750773630894,San Bernardino
High Desert Premier Academy,Apple Valley Unified,2016-17,161,Wildfires,2016 San Bernardino Fires,Pilot Fire,"August 9-10, 2016",2016,2,36750773631009,San Bernardino
Mariana Academy,Apple Valley Unified,2016-17,690,Wildfires,2016 San Bernardino Fires,Pilot Fire,"August 9-10, 2016",2016,2,36750776035240,San Bernardino
Phoenix Academy,Apple Valley Unified,2016-17,1114,Wildfires,2016 San Bernardino Fires,Pilot Fire,"August 9-10, 2016",2016,2,36750770122945,San Bernardino
Rancho Verde Elementary,Apple Valley Unified,2016-17,687,Wildfires,2016 San Bernardino Fires,Pilot Fire,"August 9-10, 2016",2016,2,36750776035257,San Bernardino
Rio Vista School of Applied Learning,Apple Valley Unified,2016-17,1053,Wildfires,2016 San Bernardino Fires,Pilot Fire,"August 9-10, 2016",2016,2,36750776110605,San Bernardino
Sandia Elementary,Apple Valley Unified,2016-17,901,Wildfires,2016 San Bernardino Fires,Pilot Fire,"August 9-10, 2016",2016,2,36750776107346,San Bernardino
Sitting Bull Academy,Apple Valley Unified,2016-17,1513,Wildfires,2016 San Bernardino Fires,Pilot Fire,"August 9-10, 2016",2016,2,36750770110866,San Bernardino
Sycamore Rocks Elementary,Apple Valley Unified,2016-17,686,Wildfires,2016 San Bernardino Fires,Pilot Fire,"August 9-10, 2016",2016,2,36750776112825,San Bernardino
Vanguard Preparatory,Apple Valley Unified,2016-17,1182,Wildfires,2016 San Bernardino Fires,Pilot Fire,"August 9-10, 2016",2016,2,36750770108423,San Bernardino
Yucca Loma Elementary,Apple Valley Unified,2016-17,654,Wildfires,2016 San Bernardino Fires,Pilot Fire,"August 9-10, 2016",2016,2,36750776035265,San Bernardino
Summit Leadership Academy-High Desert,Hesperia Unified,2016-17,215,Wildfires,2016 San Bernardino Fires,Pilot Fire and Blue Cut fire,"August 9-10, 2016, and August 17-19, 2016",2016,5,36750440107516,San Bernardino
Canyon Ridge High,Hesperia Unified,2016-17,208,Wildfires,2016 San Bernardino Fires,Pilot fire.,"August 09-10, 2016",2016,2,36750440115444,San Bernardino
Carmel Elementary,Hesperia Unified,2016-17,766,Wildfires,2016 San Bernardino Fires,Pilot fire.,"August 09-10, 2016",2016,2,36750446108120,San Bernardino
Cedar Middle,Hesperia Unified,2016-17,1167,Wildfires,2016 San Bernardino Fires,Pilot fire.,"August 09-10, 2016",2016,2,36750440114108,San Bernardino
Cottonwood Elementary,Hesperia Unified,2016-17,864,Wildfires,2016 San Bernardino Fires,Pilot fire.,"August 09-10, 2016",2016,2,36750446105498,San Bernardino
Cypress School of the Arts,Hesperia Unified,2016-17,840,Wildfires,2016 San Bernardino Fires,Pilot fire.,"August 09-10, 2016",2016,2,36750440107805,San Bernardino
Eucalyptus Elementary,Hesperia Unified,2016-17,656,Wildfires,2016 San Bernardino Fires,Pilot fire.,"August 09-10, 2016",2016,2,36750446035968,San Bernardino
Hesperia Community Day,Hesperia Unified,2016-17,18,Wildfires,2016 San Bernardino Fires,Pilot fire.,"August 09-10, 2016",2016,2,36750443630944,San Bernardino
Hesperia High,Hesperia Unified,2016-17,1951,Wildfires,2016 San Bernardino Fires,Pilot fire.,"August 09-10, 2016",2016,2,36750443630407,San Bernardino
Hesperia Junior High,Hesperia Unified,2016-17,985,Wildfires,2016 San Bernardino Fires,Pilot fire.,"August 09-10, 2016",2016,2,36750446059547,San Bernardino
Hollyvale Elementary,Hesperia Unified,2016-17,401,Wildfires,2016 San Bernardino Fires,Pilot fire.,"August 09-10, 2016",2016,2,36750446108112,San Bernardino
Joshua Circle Elementary,Hesperia Unified,2016-17,728,Wildfires,2016 San Bernardino Fires,Pilot fire.,"August 09-10, 2016",2016,2,36750446035943,San Bernardino
Juniper Elementary,Hesperia Unified,2016-17,683,Wildfires,2016 San Bernardino Fires,Pilot fire.,"August 09-10, 2016",2016,2,36750446035950,San Bernardino
Kingston Elementary,Hesperia Unified,2016-17,656,Wildfires,2016 San Bernardino Fires,Pilot fire.,"August 09-10, 2016",2016,2,36750446100937,San Bernardino
"Krystal School of Science, Math & Technology",Hesperia Unified,2016-17,852,Wildfires,2016 San Bernardino Fires,Pilot fire.,"August 09-10, 2016",2016,2,36750440119107,San Bernardino
LaVerne Elementary Preparatory Academy,Hesperia Unified,2016-17,442,Wildfires,2016 San Bernardino Fires,Pilot fire.,"August 09-10, 2016",2016,2,36750440118059,San Bernardino
Lime Street Elementary,Hesperia Unified,2016-17,828,Wildfires,2016 San Bernardino Fires,Pilot fire.,"August 09-10, 2016",2016,2,36750446106454,San Bernardino
Maple Elementary,Hesperia Unified,2016-17,769,Wildfires,2016 San Bernardino Fires,Pilot fire.,"August 09-10, 2016",2016,2,36750446103337,San Bernardino
Mesa Grande Elementary,Hesperia Unified,2016-17,584,Wildfires,2016 San Bernardino Fires,Pilot fire.,"August 09-10, 2016",2016,2,36750446089643,San Bernardino
Mesquite Trails Elementary,Hesperia Unified,2016-17,930,Wildfires,2016 San Bernardino Fires,Pilot fire.,"August 09-10, 2016",2016,2,36750446114680,San Bernardino
Mission Crest Elementary,Hesperia Unified,2016-17,1016,Wildfires,2016 San Bernardino Fires,Pilot fire.,"August 09-10, 2016",2016,2,36750440114090,San Bernardino
Mojave High,Hesperia Unified,2016-17,333,Wildfires,2016 San Bernardino Fires,Pilot fire.,"August 09-10, 2016",2016,2,36750443630472,San Bernardino
Oak Hills High,Hesperia Unified,2016-17,2446,Wildfires,2016 San Bernardino Fires,Pilot fire.,"August 09-10, 2016",2016,2,36750440119115,San Bernardino
Pathways to College,Hesperia Unified,2016-17,345,Wildfires,2016 San Bernardino Fires,Pilot fire.,"August 9-10, 2016",2016,2,36750440112441,San Bernardino
Ranchero Middle,Hesperia Unified,2016-17,1049,Wildfires,2016 San Bernardino Fires,Pilot fire.,"August 09-10, 2016",2016,2,36750446109359,San Bernardino
Shadow Ridge,Hesperia Unified,2016-17,165,Wildfires,2016 San Bernardino Fires,Pilot fire.,"August 09-10, 2016",2016,2,36750443630811,San Bernardino
Sultana High,Hesperia Unified,2016-17,1936,Wildfires,2016 San Bernardino Fires,Pilot fire.,"August 09-10, 2016",2016,2,36750443630746,San Bernardino
Topaz Preparatory Academy,Hesperia Unified,2016-17,663,Wildfires,2016 San Bernardino Fires,Pilot fire.,"August 09-10, 2016",2016,2,36750446111751,San Bernardino
Big Valley Elementary,Big Valley Joint Unified,2014-15,83,Natural Disasters & Weather,Pineapple Express,Pineapple Express - power outage due to winter storm.,"December 11, 2014",2014,1,18640896010698,Lassen
Big Valley Jr. Sr. High,Big Valley Joint Unified,2014-15,103,Natural Disasters & Weather,Pineapple Express,Pineapple Express - power outage due to winter storm.,"December 11, 2014",2014,1,18640891831601,Lassen
Yuba Environmental Science Charter Academy,Yuba County Office of Education,2014-15,98,Natural Disasters & Weather,Pineapple Express,Pineapple Express - Severe storm,"December 11, 2014",2014,1,,Yuba
Redwood High,Tamalpais Union High,2014-15,1661,Natural Disasters & Weather,Pineapple Express,Pineapple Express - severe weather,"December 11, 2014",2014,1,21654822132587,Marin
San Andreas High (Continuation),Tamalpais Union High,2014-15,57,Natural Disasters & Weather,Pineapple Express,Pineapple Express - severe weather,"December 11, 2014",2014,1,21654822134419,Marin
Sir Francis Drake High,Tamalpais Union High,2014-15,982,Natural Disasters & Weather,Pineapple Express,Pineapple Express - severe weather,"December 11, 2014",2014,1,21654822131340,Marin
